UTC Time,Balancing_Authority,Temperature,GHI,Demand_MW,Nuclear_MW,Coal_MW,Gas_MW,Solar_MW,Wind_MW,Hydro_MW,Coal_CO2_lbs,Gas_CO2_lbs,Total_CO2_lbs
2026-01-01 01:00:00,AZPS,15.1,0.0,3302.0,0.0,470.0,1463.0,0.0,258.0,0.0,1034000.0,1316700.0,2350700.0
2026-01-01 02:00:00,AZPS,14.0,0.0,3239.0,0.0,468.0,1379.0,0.0,325.0,0.0,1029600.0,1241100.0,2270700.0
2026-01-01 03:00:00,AZPS,13.0,0.0,3197.0,0.0,470.0,1364.0,0.0,336.0,0.0,1034000.0,1227600.0,2261600.0
2026-01-01 04:00:00,AZPS,12.35,0.0,3197.0,0.0,471.0,1320.0,0.0,334.0,0.0,1036200.0,1188000.0,2224200.0
2026-01-01 05:00:00,AZPS,12.0,0.0,3213.0,0.0,469.0,1158.0,0.0,380.0,0.0,1031800.0,1042200.0,2074000.0
2026-01-01 06:00:00,AZPS,11.8,0.0,3338.0,0.0,470.0,1166.0,0.0,404.0,0.0,1034000.0,1049400.0,2083400.0
2026-01-01 07:00:00,AZPS,11.8,0.0,3411.0,0.0,474.0,1310.0,0.0,353.0,0.0,1042800.0,1179000.0,2221800.0
2026-01-01 08:00:00,AZPS,11.9,0.0,3495.0,0.0,476.0,1321.0,5.0,317.0,0.0,1047200.0,1188900.0,2236100.0
2026-01-01 09:00:00,AZPS,12.0,0.0,3486.0,0.0,482.0,1393.0,75.0,292.0,0.0,1060400.0,1253700.0,2314100.0
2026-01-01 10:00:00,AZPS,12.1,0.0,3426.0,0.0,482.0,1323.0,217.0,309.0,0.0,1060400.0,1190700.0,2251100.0
2026-01-01 11:00:00,AZPS,12.2,0.0,3536.0,0.0,481.0,1685.0,366.0,391.0,0.0,1058200.0,1516500.0,2574700.0
2026-01-01 12:00:00,AZPS,12.2,0.0,3424.0,0.0,482.0,1788.0,356.0,500.0,0.0,1060400.0,1609200.0,2669600.0
2026-01-01 13:00:00,AZPS,12.1,0.0,3399.0,0.0,482.0,1838.0,529.0,518.0,0.0,1060400.0,1654200.0,2714600.0
2026-01-01 14:00:00,AZPS,12.2,0.0,3440.0,0.0,481.0,1813.0,657.0,479.0,0.0,1058200.0,1631700.0,2689900.0
2026-01-01 15:00:00,AZPS,12.675,4.0,3514.0,0.0,480.0,1797.0,718.0,470.0,0.0,1056000.0,1617300.0,2673300.0
2026-01-01 16:00:00,AZPS,13.2,6.25,3590.0,0.0,481.0,1596.0,434.0,419.0,0.0,1058200.0,1436400.0,2494600.0
